Time,Temperature,Humidity
19.03.2018 08:55:47,21,35
19.03.2018 08:55:53,21,35
19.03.2018 08:55:58,21,35
19.03.2018 08:56:03,22,35
19.03.2018 08:56:08,22,35
19.03.2018 08:56:13,22,35
19.03.2018 08:56:18,22,35
19.03.2018 08:56:23,22,35
19.03.2018 08:56:28,22,35
19.03.2018 08:56:33,22,35
19.03.2018 08:56:38,22,34
19.03.2018 08:56:43,22,35
19.03.2018 08:56:48,22,35
19.03.2018 08:56:53,22,35
19.03.2018 08:56:58,22,35
19.03.2018 08:57:03,22,35
19.03.2018 08:57:08,22,34
19.03.2018 08:57:13,22,35
19.03.2018 08:57:18,22,35
19.03.2018 08:57:23,22,34
19.03.2018 08:57:28,22,34
19.03.2018 08:57:33,22,34
19.03.2018 08:57:38,22,34
19.03.2018 08:57:43,22,34
19.03.2018 08:57:48,22,35
19.03.2018 08:57:53,22,34
19.03.2018 08:57:58,22,34
19.03.2018 08:58:03,22,35
19.03.2018 08:58:08,23,33
19.03.2018 08:58:13,23,34
19.03.2018 08:58:18,23,33
19.03.2018 08:58:23,23,34
19.03.2018 08:58:28,23,33
19.03.2018 08:58:33,23,34
19.03.2018 08:58:38,23,34
19.03.2018 08:58:43,23,34
19.03.2018 08:58:48,23,33
19.03.2018 08:58:53,23,33
19.03.2018 08:58:58,23,33
19.03.2018 08:59:03,23,33
19.03.2018 08:59:08,23,33
19.03.2018 08:59:13,23,34
19.03.2018 08:59:18,23,33
19.03.2018 08:59:23,23,34
19.03.2018 08:59:28,23,33
19.03.2018 08:59:33,23,33
19.03.2018 08:59:38,23,33
19.03.2018 08:59:43,23,33
19.03.2018 08:59:48,23,33
19.03.2018 08:59:53,23,33
19.03.2018 08:59:58,23,34
19.03.2018 09:00:03,23,33
19.03.2018 09:00:08,23,33
19.03.2018 09:00:13,23,34
19.03.2018 09:00:18,23,33
19.03.2018 09:00:23,23,33
19.03.2018 09:00:28,23,33
19.03.2018 09:00:33,23,33
19.03.2018 09:00:38,23,33
19.03.2018 09:00:43,23,34
19.03.2018 09:00:48,23,33
19.03.2018 09:00:53,23,34
19.03.2018 09:00:58,23,33
19.03.2018 09:01:03,23,33
19.03.2018 09:01:08,23,33
19.03.2018 09:01:13,23,33
19.03.2018 09:01:18,23,33
19.03.2018 09:01:23,23,33
19.03.2018 09:01:28,23,33
19.03.2018 09:01:33,23,33
19.03.2018 09:01:38,23,33
19.03.2018 09:01:43,23,33
19.03.2018 09:01:48,23,33
19.03.2018 09:01:53,24,33
19.03.2018 09:01:58,24,33
19.03.2018 09:02:03,23,33
